Food Name,Food Code,Description,Group,Group (sub-class),Comments,Description Footnote,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Starch (g),Citric acid (g),Malic acid (g),Total Phytosterols (mg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),5-mehtyl folate (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA (/100g FA g),Satd FA /100g fd (g),n-6 poly (/100g FA g),n-6 poly (/100g food g),n-3 poly (/100g FA g),n-3 poly (/100g food g),cis-Mono FA (/100g FA g),cis-Mono FA (/100g food g),Mono FA (/100g FA g),Mono FA (/100g food g),cis-Polyu FA (/100g FA g),cis-Poly FA (/100g food g),Poly FA (/100g FA g),Poly FA (/100g food g),Sat FA excl Br (/100g FA g),Sat FA excl Br (/100g food g),Branched chain FA (/100g FA g),Branched chain FA (/100g food g),ans FAs (/100g FA g),ans FAs (/100g food g),Cholesterol (mg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg)
"Faggots in gravy, chilled/frozen, reheated",19-131,"8 samples, 3 brands. 11-35% meat",Meat and meat products ,MR,As MPD and FA 19-131,,147,8.2,11.6,1.7,9.8,0,0,9.2,0.3,0,5.4,0.3,2.7,0.3,0,0,0.2,795,420,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,69.6,1.31,8.2,7.5,12.6,148,10.8,0,1.7,0.5,0,0.3,0.3,0.6,0,0,0.2,0,0,2.5,13.02,0.93,2.44,0.17,42.88,3.06,0,2.9,15.09,1.08,0,1,38.26,2.73,0.38,0.03,2.01,0.14,45,1100,55,1110,0.5,0.33,0,0.1,0.56,2,0,0,0.13,6,19,0,0,0,540,120,32,10,80,1.7,0.3,0.9,830,0.15,0,0
"Beef curry, chilled/frozen, reheated",19-169,"6 samples, 3 brands, sauce only",Meat and meat products ,MR,As MPD 19-169,,138,13.5,6.1,4.4,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.5,2.16,13.5,6.6,6.3,137,1.8,0,4.5,1.5,0,1.6,0.7,0,0.7,0,1.2,0,0,3.1,0,0,0,0,0,0,0,2.5,0,0,0,0.6,0,0,0,0,0,0,32,0,0,0,0,0.62,0,0.05,0.16,2.4,1.6,0,0.2,0,0,0.71,3,0,450,340,0,0,0,0,0,0,690,0,0,0
"Beef curry, chilled/frozen, reheated, with rice",19-170,Calculated from 57% beef curry (19-169) and 43% boiled white rice,Meat and meat products ,MR,As MPD 19-170,,130,8.6,15.1,2.6,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.7,1.38,8.6,3.9,16.4,131,13.8,0,2.6,0.9,0,0.9,0.4,0,0.4,0,0.8,0,0,1.8,0,0,0,0,0,0,0,1.4,0,0,0,0.3,0,0,0,0,0,0,18,0,0,0,0,0.35,0,0.03,0.1,1.5,1.1,0,0.14,0,0,0.49,2,0,260,210,0,2,15,0.1,0.03,0.2,400,0.13,2,2
"Beef chow mein, retail, reheated",19-165,12 samples from different shops. Noodles with beef and vegetables in sauce,Meat and meat products ,MR,As MPD 19-165,,135,6.7,13.5,2.3,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.7,1.07,6.7,6,14.7,136,12.3,0,2.4,0,0,0,1.2,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,3.1,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0.03,0.03,0,1.1,0,0,0,0,0,0,0,590,0,0,0,0,1.3,0,0,910,0,0,0
Chicken satay,19-323,"10 samples, takeaway",Meat and meat products ,MR,"Aspland and James Ltd, 1997, Nutrient analysis of ethnic and takeaway foods, Food Surveillance Information Sheet No.147",,191,21.7,2.9,1.6,1.3,0,0,0,0,42.4,22.9,3.1,13,1.8,0,0.2,1.4,3,2,0,0,0,18,9,37,0,0,0,0,1.3,0,0,1.09,0,0,0,60.5,3.47,21.7,10.3,3,191,1.4,0,1.6,0.5,0,1.1,0,0,0,0,2.2,2,30.67,3.02,0,0,0,0,43.93,4.33,43.93,4.33,25.19,2.48,25.19,2.48,0,0,0,0,0,0,57.4,5,23,9,0,1.41,0,0.07,0.07,11,3.2,14.2,0.22,0,27,0.93,5.5,0,613,363,30,43,223,1.04,0.14,0.9,690,0.39,12,23
"Chicken curry, average, takeaway",19-322,"50 samples, 10 each of Korma, Tikka Masala, Dhansak, Jalfrezi and Dopiaza. Meat and sauce only",Meat and meat products ,MR,"Aspland and James Ltd, 1997 'Nutrient analysis of ethnic and takeaway foods' Food Surveillance Information Sheet No.147. Full fatty acid data for chicken korma is available in 19-300",,145,11.7,2.4,1.2,1.1,0,0,0,0,0,25.5,3.8,15.2,0.9,0.1,0,2.3,10,7,0,0,6,111,9,104,958,0,0,0,0,0,0,0,0,0,0,70.2,1.88,11.7,9.8,2.5,145,1.2,0.1,1.2,0.4,0,0.5,0,0,0.3,0,2,2.2,27.98,2.87,0,0,0,0,42.76,3.93,43.23,3.98,28.4,2.52,28.4,2.52,0,0,0,0,0.47,0.05,37,15,119,35,0.3,2.12,0,0.05,0.07,2.5,1.8,4.3,0.19,0,0,0.66,2.3,0,356,218,41,22,112,2.32,0.08,0.6,515,0.24,7,7
"Sweet and sour chicken, takeaway",19-324,10 samples,Meat and meat products ,MR,"Aspland and James Ltd, 1997, Nutrient analysis of ethnic and takeaway foods, Food Surveillance Information Sheet No.147",,195,7.6,18.7,10.5,8,0,0,0,0,61.9,31.4,5.6,21.7,1.5,0.1,0.2,1.4,2,0,0,0,42,116,0,62,276,0,0.55,0,1.88,0,0.15,2.54,0,0,0,59.2,1.21,7.6,10,19.7,194,8.8,0.2,10.7,3.4,0,3.2,4.1,0,0,0,0,0,13.51,1.29,0,0,0,0,54.06,5.17,54.24,5.19,31.61,3.02,31.77,3.04,0,0,0,0,0.34,0.03,23.5,2,135,25,0.6,2.14,0,0.04,0.05,2.1,1.3,3.4,0.12,0,2,0.39,1.7,0,259,142,35,13,114,2.38,0.04,0.3,400,0.19,6,0
"Chicken tikka masala, retail",19-325,"21 samples, chilled, frozen and takeaway",Meat and meat products ,MR,"Data from Aspland & James 'Ethnic Takeaway Foods' 1997 and LGC 'Nutrient analysis of foods important in elderly people' 1994, Food Surveillance Information sheet No. 42. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,159,13,2.8,1.7,0.5,0,0,0,0,44.3,10.9,1.4,7.6,0.9,0.1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.2,2.08,12.9,10.6,2.6,157,0.6,0.5,1.8,0.7,0,0.9,0.8,0,0.6,0,1.6,2.4,35.63,3.63,0,0,0,0,40.64,4.14,42.01,4.27,21.57,2.2,22.01,2.25,0,0,0,0,1.82,0.17,46.2,43,104,55,0.3,1.72,0.28,0.08,0.14,4.2,1.9,6.1,0.29,0.5,21,0.98,6,0,424,289,55,25,145,1.2,0.11,0.7,654,0.23,8,0
"Spring rolls, meat, takeaway",19-327,10 samples,Meat and meat products ,MR,"Aspland and James Ltd, 1997, Nutrient analysis of ethnic and takeaway foods, Food Surveillance Information Sheet No.147. Fatty acids as FA 19-294",,241,6.5,16.9,1.8,10.9,0,0,50.2,0,0,25.4,3.6,16,0.6,0,0,2.4,0,0,0,0,49,150,0,19,0,0,0,0,1.23,0,0.14,2.35,0,0,0,54.9,1.04,6.5,16.4,18.2,242,12,4.4,1.8,0.4,0,0.6,0.5,0.3,0,0,1.9,2,24.3,3.81,0,3.74,6.4,1,44.77,7.02,44.94,7.05,30.38,4.76,30.38,4.76,24.26,3.8,0.04,0.01,0.17,0.03,7.4,0,175,29,0,1.47,0,0.1,0.07,1,1,2,0.06,0,3,0.33,3.3,0,485,117,32,13,64,1.23,0.06,0.6,749,0.24,0,0
"Spaghetti bolognese, chilled/frozen, reheated",19-328,"12 samples. meat sauce portion only, 10-18% meat",Meat and meat products ,MR,Data as MPD and FA Supplements 19-273,,109,9.3,5.1,3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.9,1.49,9.3,5.7,5.3,108,2.3,0,3,1.1,0,1.3,0.6,0,0,0,0.9,0,0,2.3,6.14,0.33,2.44,0.13,43.34,2.35,0,2.5,7.77,0.42,0,0.5,41.79,2.27,2.01,0.11,4.49,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,290,21,18,85,1.3,0.08,1.5,630,0.15,1,0
"Meat samosas, takeaway",19-326,10 samples from Indian restaurants,Meat and meat products ,MR,"Aspland and James Ltd, 1997 'Nutrient analysis of ethnic and takeaway foods' Food Surveillance Information Sheet No.147. Fatty acids from FA 19-289",,269,11.4,16.9,1.4,15.3,0,0,0,0,45.8,23.5,2.9,13.6,1.2,0,0,2.2,2,0,0,0,0,28,0,33,67,0,0.3,0,0.44,0,0.14,1.09,0,0,0,44.5,1.82,11.4,17.3,18.9,272,16.8,0.2,1.9,0,0,0.5,0,1.4,0,0,2.4,0,0,4.45,23.37,3.85,5.4,0.89,41.34,6.82,0,7.04,28.92,4.77,0,4.77,27,4.45,0.85,0.14,1.32,0.22,19.7,2,28,7,0.3,0.55,0,0.21,0.09,2.3,2.2,4.5,0.15,1,6,0.75,2,0,409,258,64,26,138,2.58,0.15,2.3,631,0.45,0,0
"Chicken chow mein, takeaway",19-321,10 samples,Meat and meat products ,MR,"Aspland and James Ltd, 1997, Nutrient analysis of ethnic and takeaway foods, Food Surveillance Information Sheet No.147",,146,8.5,11.8,0.3,6,0,0,0,0,50.4,26.9,4.4,17,0.5,0,0,1.6,0,0,0,0,12,104,0,177,0,0,0,0,0,0,0,0,0,0,0,69,1.36,8.5,7.2,12.7,147,6.6,5.8,0.3,0,0,0.3,0,0,0,0,1.1,1.5,17.03,1.17,0,0,0,0,56.08,3.86,56.08,3.86,26.45,1.82,26.45,1.82,0,0,0,0,0,0,13.4,0,110,18,0,0.96,0,0.05,0.03,1.8,1.3,3.1,0.08,0,4,0.47,1.6,0,466,90,46,11,64,1.01,0.05,0.4,720,0.15,0,0
"Corned beef, canned",19-128,"10 samples, 4 brands",Meat and meat products ,MI,"As MPD and FA supplements 19-129, vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,205,25.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0,0,0,0,0,0,0,59.5,4.14,25.9,10.9,1,205,0,0,1,0.1,0,0,0.9,0,0,0,0,0,0,5.7,2.7,0.28,0.3,0.03,36.3,3.77,0,4.3,1.7,0.18,0,0.3,52.5,5.45,2.1,0.22,6.5,0.68,84,0,0,0,1.3,0.78,2,0,0.2,2.6,6.5,0,0.18,2,5,0.4,2,0,860,140,27,15,130,2.4,0.18,5.5,1560,0.02,8,14
"Ham and pork, chopped, canned",19-133,10 samples,Meat and meat products ,MI,As MPD and FA supplements 19-133,,264,14.2,1.3,0.2,1.1,0,0,0.8,0.1,0,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.8,2.27,14.2,22.4,1.4,264,1.2,0,0.2,0,0,0,0,0,0,0,0.3,0,0,8.2,0,0,0,0,0,10.63,0,10.4,0,2.22,0,2.2,39.1,8.35,0,0,0,0,60,0,0,0,0,0.11,0,0.18,0.22,1.8,2.7,0,0.14,1,4,0.4,2,30,1050,150,52,12,210,1.6,0.18,2.4,1520,0.04,0,20
"Luncheon meat, canned",19-135,"10 samples, 9 brands",Meat and meat products ,MI,As MPD and FA 19-135,,279,12.9,3.3,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.4,2.06,12.9,23.8,3.6,279,3.6,0,0,0,0,0,0,0,0,0,0.2,0,0,8.7,11.4,2.53,1.7,0.38,48.1,10.66,0,11,11.8,2.62,0,3,38.2,8.47,0,0,1.8,0.4,64,0,0,0,0,0.11,0,0.06,0.15,1.2,2.7,0,0.1,1,13,0.5,0,27,920,120,39,10,200,1,0.1,1.5,1410,0.05,7,0
Meat spread,19-139,10 samples of a mixture of beef and ham based spreads. 70-90% meat,Meat and meat products ,MI,As MPD 19-139,,192,15.7,2.1,0.2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.6,2.51,15.7,13.4,2.3,192,2.1,0,0.2,0.1,0,0,0.1,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,5.8,0,0,0,1.2,0,0,0,0,0,0.2,62,0,0,0,0,0.49,0,0.07,0.19,3.4,1.8,0,0.13,3,6,0.75,4,0,810,220,15,14,140,4.7,0.13,3.3,1540,0.09,0,0
"Black pudding, dry-fried",19-114,"8 samples, 6 brands",Meat and meat products ,MI,As MPD 19-114,,295,10.3,15.1,0.2,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.3,1.65,10.3,21.5,16.6,297,16.4,0,0.2,0.1,0,0,0.1,0,0,0,0.2,0,0,8.5,0,0,0,0,0,0,0,8.1,0,0,0,3.6,0,0,0,0,0,0,68,41,0,41,0.7,0.24,0,0.09,0.07,1,2.8,0,0.04,1,5,0.6,2,0,940,110,120,16,80,12.3,0.11,0.7,1560,0,6,5
Brawn,19-115,10 samples,Meat and meat products ,MI,As MPD 19-115,,153,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1.99,12.4,11.5,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0.06,0,0.05,0.08,1,2.3,0,0.05,0,3,0.9,0,0,750,85,38,7,60,1,0.19,1.3,1110,0,0,0
"Pork sausages, raw, average",19-318,"Average of frozen and chilled samples, thick and thin, 65-70% meat",Meat and meat products ,MI,"Values are average of chilled and frozen sausages, MPD Supplement 19-078, 19079",,309,12,9,2.7,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4,1.91,11.9,25,9.6,309,6.8,0,2.8,1.1,0,0,0,1.6,0,0,1,0,0,9.15,0,0,0,0,0,0,0,11.15,0,0,0,3.4,0,0,0,0,0,0.15,60,0,0,0,0.9,0.93,0,0.03,0.11,2.5,1.5,4.1,0.12,1,13,0.77,5,7,860,160,103,13,175,0.9,0.07,0.9,1235,0.17,5,7
Polony,19-109,24 samples,Meat and meat products ,MI,As MPD 19-109,,279,9.4,14.2,0,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1.5,9.4,21.1,14.2,281,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0.09,0,0.17,0.1,1.5,1.8,0,0.08,0,4,0.5,0,0,870,120,42,13,130,1.3,0.32,1.2,1160,0,0,0
"Saveloy, unbattered, takeaway",19-319,20 samples,Meat and meat products ,MI,"Data as MPD Supplement 19-111, with fats calculated from FA Supplement proportions 19-292",,293,13.8,9.4,1.3,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1,2.2,13.8,22.3,10.8,296,8.9,0,1.3,0.4,0,0.1,0.3,0.5,0,0,0.8,0,0,7.5,0,0,0,0,0,0,0,9.8,0,0,0,3.6,0,0,0,0,0,0.4,78,19,0,19,0,0.45,0,0.14,0.09,1.9,1.9,3.8,0.06,0,1,0.86,4,0,1150,180,81,18,230,4.5,0.11,1.2,1770,0.16,0,0
"Pate, liver",19-317,20 samples including canned,Meat and meat products ,MI,"Data as MPD and FA supplements 19-143, with iron from LGC 'The determination of different forms of Iron in foodstuffs' 1997, Food Surveillance Information sheet No.117. Vitamin K1 Bolton-Smith et al Br.J. Nutr.83, 2000",,349,12.6,1.1,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.8,0,0,0,0,0,0,0,0,47.6,2.02,12.6,32.7,0.8,348,0.8,0,0.4,0.4,0,0,0,0,0,0,0,0,0,9.5,11.15,2.7,1,0.24,48.6,11.78,0,11.8,12.15,2.94,0,3,38.65,9.37,0.05,0.01,0.1,0.02,170,7300,130,7400,1.2,0,0.95,0.1,1.17,1.9,2.8,4.7,0.25,8,99,2.1,14,0,750,150,16,11,450,5.9,0.46,2.8,880,0.16,0,0
"Cornish pastie, retail",19-316,"10 samples, 5 brands",Meat and meat products ,MI,Data from MPD and FA Supplements 19-056 (retail added to name for IDS),,265,6.7,22.8,0.9,21.9,0,0,24.8,0,0,15.7,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,1.07,6.7,16.3,25,267,24.1,0,0.9,0.3,0,0.3,0.3,0,0,0,0.9,0,0,5.9,6.9,1.07,0.9,0.14,32.6,5.06,0,8.4,7.2,1.12,0,1.2,36.7,5.7,1.1,0.17,22,3.42,33,0,0,0,0,1.3,0,0.09,0.06,1.3,1.7,3,0.19,0,5,0.6,1,0,400,140,60,14,75,1.1,0.31,0.6,720,0.2,2,3
"Pate, meat, reduced fat",19-145,"11 samples, assorted types; pork meat and liver based. 70-80%  meat",Meat and meat products ,MI,As MPD 19-145,,191,18,2.8,1.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,5170,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2.88,18,12,3,191,1.7,0,1.3,1.1,0,0,0.1,0,0.1,0,0,0,0,3.5,14.9,1.32,1.2,0.11,43.4,3.86,0,3.9,16.1,1.43,0,1.5,37.9,3.37,0.3,0.03,0.9,0.08,160,5930,0,5930,0,0.77,0,0.46,1.12,7.1,2.2,0,0.35,12,31,2.68,27,18,710,190,14,14,240,6.4,0.46,2.7,1180,0.16,0,0
White pudding,19-159,6 samples,Meat and meat products ,MI,As MPD 19-159,,446,7,36.3,0,36.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8,1.12,7,31.8,36.3,450,36.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0.26,0.08,0.5,1.3,0,0.06,1,6,0.8,18,0,370,190,38,61,230,2.1,0.43,1.6,600,0,0,0
"Steak and kidney/Beef pie, individual, chilled/frozen, baked",19-069,"16 samples including minced beef, minced beef and onion,  minced beef and vegetable, steak, and steak and kidney pies. 12.5-30% meat",Meat and meat products ,MI,"As MPD 19-069, vitamin K1 from Bolton-Smith et al Br.J. Nutr. 83, 2000. Additional  fatty acid data is available for steak and kidney pies in 19-290 (obselete).",,307,8.8,24.4,1.4,22.9,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0.07,0.3,0,0,0,0,0,0,0,0,41.4,1.41,8.8,19.4,26.7,310,25.2,0,1.5,0.2,0,0.1,0.1,1.1,0,0,0.5,0,0,8.4,0,0,0,0,0,0,0,7.8,0,0,0,1.9,0,0,0,0,0,1.2,39,5,20,8,0.7,1.04,3.82,0.4,0.15,1.6,1.6,0,0.06,2,8,0.61,3,0,460,140,60,15,95,1.3,0.07,1.4,690,0.26,0,0
"Pork pie, individual",19-063,8 samples of 8cm pies including Melton Mowbray. 28-39% meat,Meat and meat products ,MI,As MPD 19-063,,361,10.8,21.6,1,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,1.73,10.8,25.7,23.7,363,22.7,0,1,0.2,0,0.1,0.1,0.6,0,0,0.9,0,0,9.7,12.4,3.04,1,0.24,44.2,10.83,0,11,13.4,3.31,0,3.2,40.4,9.89,0.2,0.05,1.7,0.42,45,0,0,0,0,0.21,0,0.19,0.06,2.3,1,0,0.15,0,5,0.74,2,4,650,160,68,17,100,1.1,0.08,1,760,0.23,6,7
Liver sausage,19-106,"10 samples, 4 brands",Meat and meat products ,MI,As MPD 19-106,,336,13.4,5.5,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,2.14,13.4,16.7,6,226,5,0,1,1,0,0,0,0,0,0,0.7,0,0,5.3,0,0,0,0,0,0,0,5.7,0,0,0,2.3,0,0,0,0,0,0,115,2600,0,2600,0.6,0.1,0,0.36,1.16,3.7,2.4,0,0.25,10,36,1.5,7,0,810,180,20,14,260,6,0.91,2.6,1150,0.19,0,0
"Ham, canned",19-024,"10 samples, 8 brands",Meat and meat products ,MI,As MPG and FA supplements 19-024,,107,16.5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,2.64,16.5,4.5,0.1,107,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1.6,9.5,0.4,0,0,0,2.05,0,2,10.4,0.44,0,0.4,39.2,1.64,0,0,0,0,33,0,0,0,0,0.08,0,0.29,0.24,2.5,3,0,0.21,0,2,0.6,1,19,1470,200,32,18,270,1.2,0.1,2,1770,0.02,8,11
"Chicken pie, individual, chilled/frozen, baked",19-055,"12 samples including chicken, chicken and ham, chicken and mushroom and chicken and vegetable pies. 10.5-25% meat",Meat and meat products ,MI,As MPD 19-055. Phytosterols from 19-288,,285,9,22.5,1.6,20.9,0,0,29.3,0.3,0,17.6,1.1,8.6,0.6,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.6,1.44,9,17.7,24.6,288,23,0,1.6,0.1,0,0.1,0.2,0.9,0.3,0,0.8,0,0,7,0,0,0,0,0,0,0,7.4,0,0,0,2.4,0,0,0,0,0,1.2,32,0,0,0,0,0,0,0.41,0.09,1.5,1.6,0,0.12,0,8,0.64,4,0,430,140,60,15,90,0.8,0.06,0.6,710,0.23,0,0
"Beef sausages, chilled, grilled",19-077,6 samples of thick sausages,Meat and meat products ,MI,As MPD and FA 19-077,,277,13.3,12,1.3,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2.13,13.3,19.5,13.1,278,11.7,0,1.4,0.3,0,0,0.1,0.9,0.1,0,0.7,0,0,7.9,6.9,1.26,0.8,0.15,45.8,8.35,0,8.8,7.5,1.37,0,1.4,42.2,7.69,1.2,0.22,2.1,0.38,42,0,0,0,0,0.67,0,0,0.11,2.5,1.8,0,0.11,1,7,0.64,3,0,1200,190,80,15,200,1.4,0.11,2,1640,0.21,4,6
"Pork sausages, chilled, fried",19-079,16 samples,Meat and meat products ,MI,As MPD and FA 19-079,,307,13.9,9.2,1.5,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.4,2.22,13.9,23.9,9.9,308,8.4,0,1.6,0.4,0,0,0.2,0.9,0.1,0,0.7,0,0,8.5,13.9,3.09,1.5,0.33,45.7,10.17,0,10.3,15.4,3.43,0,3.5,38,8.46,0.1,0.02,0.6,0.13,53,0,0,0,1.1,0.86,0,0.01,0.13,3.1,2,0,0.09,1,3,0.85,5,5,1070,180,110,15,220,1.1,0.12,1.1,1430,0.19,6,8
"Pork sausages, chilled, grilled",19-080,16 samples,Meat and meat products ,MI,As MPD 19-080,,293,14.5,9,1.4,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.9,2.32,14.5,22.1,9.8,294,8.3,0,1.5,0.4,0,0,0.2,0.8,0.1,0,0.7,0,0,8,0,0,0,0,0,0,0,9.6,0,0,0,3,0,0,0,0,0,0.1,53,0,0,0,1.1,0.92,0,0,0.13,3.1,2,0,0.12,1,4,0.93,5,5,1080,190,110,15,220,1.1,0.11,1.4,1660,0.2,6,8
"Pork sausages, reduced fat, chilled/frozen, grilled",19-086,"7 samples, 5 brands",Meat and meat products ,MI,As MPD 19-086,,229,16.2,9.9,0.9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1,2.59,16.2,13.8,10.8,230,9.9,0,0.9,0.7,0,0,0.2,0,0,0,1.5,0,0,4.9,0,0,0,0,0,0,0,5.9,0,0,0,2.1,0,0,0,0,0,0.1,55,0,0,0,0,0.3,0,0,0.13,2.8,2,0,0.11,1,32,1.04,3,37,1180,260,130,19,230,1.3,0.08,1.7,1580,0.24,7,9
"Sweetbread, lamb, fried",18-422,3 samples,Meat and meat products ,MG,As MPG 18-422,,217,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.7,4.59,28.7,11.4,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.29,2.3,4.1,0,0.04,3,9,0.8,4,23,52,400,27,34,480,1.8,0.4,3.6,52,0.08,0,0
"Sweetbread, lamb, raw",18-421,"Thymus and pancreas, 12 samples",Meat and meat products ,MG,As MPG 18-421,,131,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.5,2.44,15.3,7.8,0,131,0,0,0,0,0,0,0,0,0,0,0,0,51.4,3,0,0,0,0,0,0,41,2.4,0,0,5.6,0.3,0,0,0,0,0,0,260,0,0,0,0,0.44,0,0.03,0.25,3.7,3.3,0,0.03,6,13,1,3,18,75,420,8,21,400,1.7,0.2,1.9,120,0.04,0,0
